filename	description
10.png	She looks like a Westerner in her twenties.It has white and red skin.She has long dark brown hair without bangs.They are thin eyebrows with slightly angled angles.She has a round forehead.The double eyelids are thick and have many eyelashes.The tip of the nose comes down, so I can't see the nostrils.she has a thin and high nose bridge.she smiles with pink thin lips showing she's teeth.It has a sharp face shape with no square jaw and a pointed tip of the jaw.She looks like late 20s.She has dark brown soft angled low arch eyebrows.Her eyelash color is black, and it is very long.Her iris color is green, gray with brown spots.She has almond shaped eyes.She has double eyelids.Her pink lips are thin and heart shape.She has tall and long beak nose.Her face shape is oval and raised cheekbone.She has broad and curved forehead.She has warm natural skin color.She has long straight dark brown hair that shows a part.She is wearing medium-sized cubic earrings.Her teeth are very white and evenly in ordered.She is an oriental young woman.She has eye wrinkles and smile lines.Her skin color is neither bright nor dark and freckles are visible.She is wearing earrings.She has medium ears.Her face is egg-shaped.She has round medium forehead and long dark brown straight hair.She parts her hair at the side.She has double outer eyelids and has thin dark brown eyebrows, brown eyes and dark eyelashes.She has a broad nose tip and high, long and big nose.Nostrils are not visible.She is smiling broadly and appears 12 ivory upper and lower teeth.She has a big mouth and medium thickness and deep red lips.
11.png	He looks like a middle-aged Westerner.He is wearing a hat and has short hair with gray hair.My skin is red.He has short and thick eyebrows on the left and right.He has thick double eyelids and dark brown irises.I have fat under my eyes.He has a slightly visible nostril and a high nose bridge.There are wrinkles around my eyes.There is a beard that extends around the mouth, to the chin, and sideburns, and the lips are thin and the upper lips are slightly angled.He has a sharp face shape with big ears and square jaws.He is middle aged who looks like late 50s.He has black thick hard angled eyebrows.He has deep set eyes with double eyelids.He has very dark brown color iris.He has winkle around his eyes and forehead.He has skin tones of small full lips.He has medium sized refined nose.His face shape is triangle, and he has M-shaped forehead.His skin color is golden natural.He has short gray color hair.He has gray color of the short, boxed bread beard mark.He has long and narrow ears.He looks like he's wearing a blue hat.He is an oriental middle-aged man.He has a beard, eye wrinkles and forehead wrinkles.His skin color is bright and he is wearing a hat.He has big ears.His face is egg-shaped.His forehead and hair is not visible.He has dark double outer eyelids, the tail of his eyebrows is down and his pupils are almost black.He has a broad nose tip and high, medium length and big nose.Nostrils are more than half visible.He is not smiling and teeth are not visible.He has a medium size mouth and medium thickness and deep red lips.
12.png	He looks like a Westerner in his 30s.It has red and yellow skin.He has short brown hair and a little gray hair.His forehead is wide in an M shape.He has thick eyebrows and doesn't have many angles.He has thick double eyelids and khaki iris.I have dark circles.He has a small nose, a high nose, and a thin tip.He closed his mouth with pink thin lips.There is a black beard around the mouth.It has an angled face with a square jaw and a pointed tip of the jaw.He looks like early 30s.He has black thick flat eyebrows.He has dark green almost hazel color iris.He has close- and deep-set eyes.He has double eyelids and a bit of under lashes.He has skin tones of small and heavy lower lips.He has medium sized short nose.His face shape is oblong.He has M-shaped broad forehead.He has warm beige color skin tone.He has little curly soft black color hair.He has light stubbled beard mark.His ear shape is sticking out.He is a Western young man.He has a beard and forehead wrinkles.His skin color is a little bright.He has freckles and has two dots around his left mouth.He has small ears.His face is oval.He has M-shaped wide forehead and short dark brown curly hair.He has dark double outer eyelids connected to his nose, straight eyebrows and emerald eye color.He has a broad nose tip and medium height, short and small nose.Nostrils are a little visible.He is smiling slightly and teeth are not visible.He has a small mouth and medium thickness and deep red lips.
13.png	He appears to be a middle-aged Westerner.He has red skin.He has gray hair mixed with white hair.There are wrinkles on the forehead.His eyebrows are sparse and thick.He has double eyelids and wrinkles around his eyes.The color of the pupil is dark brown.He has fat under his eyes.His nose is high.The tip of his nose is down, so I can't see his nostrils.He has a smile on his thin lips.He has small ears.He has a wide lower jaw.He has a long chin and a round face.He is middle aged who looks like late 50s.He has black and very thick flat eyebrows.He has grayish black iris color.He has very thick eyelids and close-set eyes.He has skin tones of small heart shaped lips.He has tall and long break nose.He has many wrinkles around his eyes and on his forehead.His skin has some pimples.He has rectangle shaped face.He has straight forehead.He has natural color skin.He has black and little gray hair color, and he styled his hair back with wax.He has light stubbled beard mark.He has small and squared ears.He is an oriental middle-aged man.He has a beard, eye wrinkles and forehead wrinkles.His skin color is neither bright nor dark.He has small ears.His face is round-shaped.He has square medium forehead and short straight black hair with gray hair.He had dark double outer eyelids.The top of his right eyebrow is dug out.His pupil is almost black.He has a narrow nose tip and high, long and big nose.Nostrils are not visible.He is smiling slightly and teeth are not visible.He has a small mouth and thin and light red lips.
14.png	He appears to be a young Westerner.He has red skin.He has short brown hair with curls.He has straight eyebrows of moderate thickness without angles.He has thick double eyelids.There are slightly wrinkles around the eyes and flesh under the eyes.He has an iris mixed with gray and green.His nose bridge is high and the tip of his nose rises, showing his nostrils slightly.There are dark beards around the mouth, chin, and sideburns.He smiles so that his teeth can be seen slightly.He appears to be a in his early 30s.He has dark brown soft angled-medium arch eyebrows.He has little under lashes and double eyelids.His iris color is light blue gray with green spots.He has big and deep-set eyes.He has pink color of heavy lower lips.He has medium sized perky nose.His face shape is triangle.He has broad and straight forehead.He has warm beige skin color.He has soft black hair color with little gray hair.He has a lot of charcoal and a little wavy hair style.He has light extended goatee beard mark.He has narrow ears.He is a Western young man.He has a beard, eye wrinkles, and forehead wrinkles.Dark circles look light, his skin color is bright and a dot stands out between his eyes.He has medium ears.His face is egg-shaped.He has square wide forehead and short dark brown curly hair.He has double outer eyelids and bright gray eyes.The top of the right eyebrow is dug out.His eyelashes are very short.He has a broad nose tip and high, short and medium size nose.Nostrils are a little visible.He is smiling slightly and appears 3 ivory upper and lower teeth.He has a big mouth and medium thickness and light red lips.
15.png	He appears to be a young Westerner.He has red skin.He has short dark brown hair.There are some wrinkles on the forehead.He is frowning.He has thick double eyelids and fat under his eyes.There are some wrinkles around the eyes.He has dark brown angled eyebrows.His nose is high.The tip of his nose is wide and sagging, so he can't see his nostrils.His thin mouth brush and smile reveal his front teeth.There are short beards around the mouth, chin, and sideburns.He has almost no square jaw and has a round face at the end of the jaw.His ears are the right size.He looks like in his early 30s.He has thick flat dark brown eyebrows.He has deep set eyes and double eyelids.He has a deep eye hole, so there are shadows around his eyes.He has dark blue gray color iris.He has skin tones of heavy lower lips.He has long and bull type nose that size is very tall.His face type is oblong.He has M-shaped forehead.He has a bit of wrinkle around his eyes and forehead.And he has a lot of wrinkles on his neck.He has warm natural skin color.He has very short hair that color is black.He has light stubbled beard mark.He has attached lobe ears.He has in ordered teeth.He is an oriental young man.He has a beard, eye wrinkles, and forehead wrinkles.His skin color is neither bright nor dark and there are dots on both cheeks.He has medium ears.His face is round-shaped.He has M-shaped wide forehead and short dark brown hair.He has brown-gray straight eyebrows and dark double outer eyelids.He has dark eyes and small eyes.He has a broad nose tip and high, short and big nose.Nostrils are not visible.He is smiling broadly and appears 9 white upper teeth.He has a big mouth and thin and light red lips.
16.png	He is a western baby.He had grayish brown short hair.He has red and white skin.He has freckles on his cheeks.He has small and thin eyebrows.He has thick double eyelids and a lot of eyelashes.He was a green iris.He has a nose bridge, but he's not high.I can hear the tip of my nose, so I can see the nostrils a little bit.He has thin lips and opens his mouth to reveal his teeth.He has big ears.The face is round and the tip of the chin is slightly pointed.He is a child who looks like in his under the 10 years old.He has light brown color of soft angled medium arch eyebrows.He has blue gray with brown spots.He has black color of eyelashes.And he has thick double eyelids.He has very big and round shaped eyes.He has lively pink color of small heart shaped lips.He has small snub nose.He has rounded face shape.He has straight forehead.He has alabaster skin color and very transparent.He is blushing a little.He has medium golden blonde hair color.He has a hairstyle of moderate length so that the bangs do not cover his forehead.He has narrow ears.He has infant teeth that are not yet fully grown.He is a Western child.His skin is bright and red dots are visible on his right cheek.He has big ears.His face is round-shaped.He has square wide forehead and short dark blonde curly hair.He has double outer eyelids and thin, light brown eyebrows.And he has big round eyes with gray-green pupils.He has a broad nose tip and low, short and small nose.Nostrils are more than half visible.He is smiling broadly and appears 8 white upper and lower teeth.He has a small mouth and thin and deep red lips.
17.png	She is a middle-aged Westerner.She has dark brown bobbed hair with bangs.She has angled eyebrows and thin eyebrows.She has thick double eyelids.She had a dark brown iris.She is wearing glasses without frames.She has wrinkles around her eyes and fat under her eyes.She has a nose bridge, but it's not high, and the tip of her nose is up, so you can see her nostrils.The nose is wide from side to side.She smiles with pink thin lips showing her front teeth.She has a slightly angled chin and a round face.She is middle aged who looks like 50s.She has black color of rounded-high arch eyebrows.She has black iris.She has doubled eyelids and downturned eyes.She has wrinkle around her eyes and mouth.She has nude color of bow-shaped lips.She has tall bull nose.Her face shape is round.She has warm beige skin color.She has soft black hair color with a bit of gray hair.She has short hair that does not exceed shoulder length with bangs that slightly cover her forehead.There's a little bit of fat on her chin.She wears rimless glasses.She is wearing a small cubic earring.She has in ordered teeth.She is an oriental middle-aged woman.She has eye wrinkles and smile lines.Her skin color is slightly dark.She is wearing round glasses and earrings.Her ears are not visible.Her face is round-shaped.Her forehead is not visible.She has short black hair with bangs.She parts her hair in the middle.She has dark double outer eyelids and thin black eyebrows.Her eyebrows are drooping.Her eyes are black and her eyelashes are short.She has a broad nose tip and low, medium length and big nose.Nostrils are more than half visible.She is smiling broadly and appears 8 ivory upper teeth.She has a big mouth and medium thickness and deep red lips.
18.png	She is a middle-aged Westerner.She has red skin.She has black short hair and no bangs.She has angled eyebrows and thin eyebrows.She has thick double eyelids and a large amount of eyelashes.She was a dark brown iris.She has wrinkles around her eyes and fat under her eyes.She has a high nose and a thin nose.The tip of the nose is small and you can see a little nostrils.She smiles with pink thin lips to show her teeth.She has a slightly pointed jaw and a sharp face with little square jaw.She middle aged who looks like late 40s.She has thin, soft angled-high arch eyebrows.And its color is black.She has light brown iris with a bit of hazel.She has black and long eyelash.She has almond shaped eyes with around her eyes.She has double eyelids.She has apricot color of big and wide lips.She has big and bulb nose.She has oval face shape.She has sharp hairline.She has natural tan skin color.There are some spots and redness on her cheeks.She has black color of short hair with her bangs turned sideways to reveal her forehead.She wears earrings with strings that go down to her jawline.Her teeth are very in ordered and white in color.She is an oriental middle-aged woman.She has eye wrinkles and smile lines.She has dimples next to her mouth and a mole on her right cheek.Her skin color is dark.She is wearing makeup and long earrings.Her ears are not visible.Her face is egg-shaped.She has round medium forehead and short black hair.She parts her hair at the side.She has light double outer eyelids and arched black eyebrows.Her eyes are brown.She has a medium width nose tip and high, short and big nose.Nostrils are more than half visible.She is smiling broadly and appears 14 white upper and lower teeth.She has a big mouth and thick and deep red lips.
19.png	She is a middle-aged Westerner.She has white skin.She has golden short hair and no bangs.She has straight eyebrows and thick eyebrows.She has thick double eyelids.She has dark brown irises.She has wrinkles around her eyes.She has a high nose.The tip of the nose is lumpy and you can see the nostrils.She has pink thin lips and her teeth are slightly open.She has a long round jaw and a round face without a square jaw.She is middle aged who looks like early 50s.She has dark brown color of thick, soft angled-high arch eyebrows.She has black iris.She has downturned eyes with double eyelids.She has black and long under lashes.She has pink color of rounded lips.She has medium sized refine nose.She has oblong shaped face.She has broad and fuji mount -shaped forehead.She has beige skin color.She has light ash brown hair color.She has short hair with bangs behind her ears.She has narrow ears.She has deep smile lines.She wears black horn-rimmed glasses and small silver cubic earrings.She is an oriental middle-aged woman.She has eye wrinkles, forehead wrinkles, and smile lines.Her skin color is bright and she has a dot on her left cheekbone.She is wearing black rectangular horn-rimmed glasses and earrings.She has medium ears.Her face is round-shaped.She has round medium forehead and short dark blonde straight hair.She parts her hair at the side.She has dark double outer eyelids.She has light brown eyebrows and has a short left eyebrow.She has black eyes and short eyelashes.She has a narrow nose tip and high, medium length and medium size nose.Nostrils are a little visible.She is smiling slightly and appears 3 ivory upper and lower teeth.She has a small mouth and medium thickness and deep red lips.
20.png	He appears to be a middle-aged Westerner.It has red and yellow skin.He has black hair, curly hair, and gray hair.He has a wide forehead.He has almost no angle and his eyebrows have an appropriate thickness.He has thick double eyelids and khaki iris.He has some wrinkles under his eyes and gained some weight.He has a thick and high nose.He has a thin tip of his nose and a short nose from side to side.There are fewer short beards around the mouth, chin, and sideburns.He closed his mouth with pink lips.He has a square chin and a blunt face shape at the tip of the chin.He appears to be in his late 40s.He has black and thick flat eyebrows.He has very close eyes and eyebrows.He has deep set double eyelids and he is close eye to eye.He has dark green color iris.He has a bit of wrinkle around his eyes.He has nude color of thin lips.He has tall and long nose.His face shape is triangle.He has broad forehead and straight hair line.He has cool ivory skin color.He has some blemishes on his skin.He has black hair with some short curly gray hair that does not cover his forehead.He has light stubbled beard mark.He has small sticking out ears.He has a mole on his neck.He is a middle-aged Western man.He has a beard and eye wrinkles.His skin color is neither bright nor dark.He has freckles and has a mole on the left neck.He has medium ears.His face is egg-shaped.He has square wide forehead and short black curly hair.He has dark double outer eyelids connected to his nose and has light gray eyes and gray eyebrows.He has a narrow nose tip and high, short and small nose.Nostrils are more than half visible.He is smiling slightly and teeth are not visible.He has a big mouth and thin and light red lips.
21.png	She is a Westerner who appears to be in her 30s.She has short hair without blonde hair.She has yellow skin.She has thin, slightly angled eyebrows.She has thick double eyelids.She gained weight under her eyes.She has a high nose and a thick nose.The tip of the nose is high, so you can see the nostrils slightly.Her nose is short from side to side.She smiles so that her front teeth are visible.She has a square jaw and a round jaw.She looks like late 20s.She has black thin, soft angled-high arch eyebrows.She has black and long eyelash.She has hazel iris.She has big and prominent eyes and double eyelids.She has nude tone of wide and thin lips.She has medium sized bulb nose.Her face shape is rectangle.She has some cheekbones.She has natural skin color.She has medium golden blonde hair color.She has a short hair style with bangs that do not exceed chin length behind her ears.She has a hair part that is tilted to the left.She wears small sliver cubic earrings.She is a Western young woman.She has several dots on her right cheek and her skin color is dark.She is wearing makeup and earrings.She has medium ears.Her face is round-shaped.She has round medium forehead and short dark blonde straight hair.She parts her hair at the side.She has thin brown eyebrows and light brown-gray eyes.She has dark double outer eyelids.She has a medium width nose tip and medium height, long and medium size nose.Nostrils are a little visible.She is smiling slightly and appears 2 white upper teeth.She has a big mouth and thick and deep red lips.
22.png	She is a young Westerner.She has black short hair with curly bangs.Her eyebrows are angled and thick.She had a thick sangapool.She has a lot of upper lashes.She has a lot of flesh under her eyes.She has some wrinkles around her eyes.Her nose is high.The tip of her nose is wide, blunt, and drooping down.She is smiling with her teeth visible.Her cheekbones stand out.She has almost no square jaw and has a round face shape at the tip of her jaw.She appears to be in his early 20s.She has dark black thick, hard angled eyebrows.She has thick double eyelids.She has black color of iris.She put on makeup with eyeliner over her eyes.She has almond shaped eyes.She has pink, bow-shaped lips.She has medium sized long nose.She has heart shape of face.She has warm sand skin color.She has black curly hair that covers her forehead, and she has ponytails that show a lot of fine hair.She has small, pointed ears.She has a mole on her forehead.She has white and in ordered teeth.She is an oriental young woman.She has eye wrinkles and smile lines.Her skin color is dark and her makeup is light.She has small ears.Her face is round-shaped.Her forehead is not visible.She has short black curly hair with bangs.She has dark black eyebrows, double outer eyelids, and a pointed right eyebrow.She has black eyes.She has a broad nose tip and low, long and big nose.Nostrils are not visible.She is smiling broadly and appears 8 ivory upper teeth.She has a big mouth and medium thickness and deep red lips.
23.png	He appears to be a middle-aged Westerner.He has red skin.I have some wrinkles on my forehead.He has shaggy short grayish brown hair.He has small eyebrows and a lot of sparsely thick hair.He has double eyelids, but they are not thick and have brown irises.He has a high nose and a thin nose.The tip of the nose is round, so you can see the nostrils slightly.There are short sideburns around his mouth, around his chin, The face under him is wide.He opens his mouth slightly with thin, small lips.He has a wide round jaw and a square jaw in the shape of his face.He is middle aged who looks like late 40s.He has thick, soft angled-medium arch eyebrows.He has green with brown spots iris.He has double eyelids, and he has a bit of downturned eyes.He has a bit of wrinkle on his forehead.He has pink, small, and thin lips.He has medium sized dainty nose.His face shape is oblong.He has broad forehead and straight hair line.He has cool sand skin color.He has short, gray hair that does not cover his forehead.He has light stubbled beard mark.He has narrow ears.He's blushing on his cheeks and looks like he's got fat on his chin.He is a Western young man.He has a beard and forehead wrinkles.His skin color is bright and he has a mole on his left cheek.He has big ears.His face is egg-shaped.He has square wide forehead and short dark brown straight hair.He has light brown eyebrows and very light double outer eyelids.His eyes are brown-green.He has a narrow nose tip and high, short and small nose.Nostrils are a little visible.He is smiling slightly and appears 8 white upper and lower teeth.He has a small mouth and thin and deep red lips.
24.png	He appears to be a young Westerner.It has red skin.He has a wide forehead.He has brown short hair perm.He has straight thick eyebrows.His double eyelids had deep, khaki irises.He has wrinkles under his eyes and around his eyes.He has a high nose and a wide nose.The tip of his nose is pointed.He smiles with pink thin lips, showing his front teeth slightly.He has a sharp face shape with a jawline and a slight square jaw.She appears to be in his early 30s.She has thick and black rounded medium arch eyebrows.Her iris color is between green and dark gray.She has prominent eyes with wrinkle around her eyes.She has double eyelids.She has black eyelash.She has pale pink thin and bow-shaped lips.She has tall and long nose.Her face shape is rectangle.She has broad forehead and straight hair line.She has cool sand skin color.She has permed her hair short enough to not be tied up.And his hair color is brownish black.She wears a small sliver earrings on her left side.She shows some teeth when she smiles.She is a middle-aged Western woman.She has dimples on the right side of her mouth.She has eye wrinkles and smile lines.Her skin color is bright.She has a dot on her right cheek and she is wearing earrings.She has medium ears.Her face is round-shaped.She has square wide forehead and short dark brown curly hair.She has dark brown eyebrows, drooping, dark double outer eyelids and light gray eyes.Her eyelashes are very short.She has a medium width nose tip and low, medium length and big nose.Nostrils are a little visible.She is smiling slightly and appears 6 white upper teeth.She has a medium size mouth and thin and light red lips.
